date,region,cases
2020-03-29,10 - Nord-du-Québec,0
2020-03-29,11 - Gaspésie-Îles-de-la-Madeleine,0
2020-03-29,12 - Chaudière-Appalaches,6
2020-03-29,13 - Laval,20
2020-03-29,14 - Lanaudière,18
2020-03-29,15 - Laurentides,12
2020-03-29,16 - Montérégie,38
2020-03-29,17 - Nunavik,1
2020-03-29,18 - Terres-Cries-de-la-Baie-James,0
2020-03-30,01 - Bas-Saint-Laurent,3
2020-03-30,02 - Saguenay–Lac-Saint-Jean,6
2020-03-30,03 - Capitale Nationale,10
2020-03-30,04 - Mauricie - Centre du Québec,42
2020-03-30,05 - Estrie,33
2020-03-30,06 - Montréal,251
2020-03-30,07 - Outaouais,10
2020-03-30,08 - Abitibi-Temiscamingue,1
2020-03-30,09 - Côte-Nord,9
2020-03-30,10 - Nord-du-Québec,0
2020-03-30,11 - Gaspésie-Îles-de-la-Madeleine,4
2020-03-30,12 - Chaudière-Appalaches,9
2020-03-30,13 - Laval,77
2020-03-30,14 - Lanaudière,53
2020-03-30,15 - Laurentides,49
2020-03-30,16 - Montérégie,32
2020-03-30,17 - Nunavik,0
2020-03-30,18 - Terres-Cries-de-la-Baie-James,1
2020-03-31,01 - Bas-Saint-Laurent,2
2020-03-31,02 - Saguenay–Lac-Saint-Jean,7
2020-03-31,03 - Capitale Nationale,39
2020-03-31,04 - Mauricie - Centre du Québec,51
2020-03-31,05 - Estrie,36
2020-03-31,06 - Montréal,379
2020-03-31,07 - Outaouais,12
2020-03-31,08 - Abitibi-Temiscamingue,6
2020-03-31,09 - Côte-Nord,4
2020-03-31,10 - Nord-du-Québec,0
2020-03-31,11 - Gaspésie-Îles-de-la-Madeleine,24
2020-03-31,12 - Chaudière-Appalaches,22
2020-03-31,13 - Laval,15
2020-03-31,14 - Lanaudière,52
2020-03-31,15 - Laurentides,30
2020-03-31,16 - Montérégie,52
2020-03-31,17 - Nunavik,0
2020-03-31,18 - Terres-Cries-de-la-Baie-James,1
2020-04-01,01 - Bas-Saint-Laurent,5
2020-04-01,02 - Saguenay–Lac-Saint-Jean,1
2020-04-01,03 - Capitale Nationale,34
2020-04-01,04 - Mauricie - Centre du Québec,32
2020-04-01,05 - Estrie,14
2020-04-01,06 - Montréal,106
2020-04-01,07 - Outaouais,14
2020-04-01,08 - Abitibi-Temiscamingue,7
2020-04-01,09 - Côte-Nord,5
2020-04-01,10 - Nord-du-Québec,0
2020-04-01,11 - Gaspésie-Îles-de-la-Madeleine,0
2020-04-01,12 - Chaudière-Appalaches,13
2020-04-01,13 - Laval,66
2020-04-01,14 - Lanaudière,7
2020-04-01,15 - Laurentides,64
2020-04-01,16 - Montérégie,81
2020-04-01,17 - Nunavik,0
2020-04-01,18 - Terres-Cries-de-la-Baie-James,0
2020-04-02,01 - Bas-Saint-Laurent,1
2020-04-02,02 - Saguenay–Lac-Saint-Jean,0
2020-04-02,03 - Capitale Nationale,23
2020-04-02,04 - Mauricie - Centre du Québec,71
2020-04-02,05 - Estrie,25
2020-04-02,06 - Montréal,545
2020-04-02,07 - Outaouais,11
2020-04-02,08 - Abitibi-Temiscamingue,6
2020-04-02,09 - Côte-Nord,7
2020-04-02,10 - Nord-du-Québec,0
2020-04-02,11 - Gaspésie-Îles-de-la-Madeleine,1
2020-04-02,12 - Chaudière-Appalaches,3
2020-04-02,13 - Laval,73
2020-04-02,14 - Lanaudière,49
2020-04-02,15 - Laurentides,27
2020-04-02,16 - Montérégie,64
2020-04-02,17 - Nunavik,1
2020-04-02,18 - Terres-Cries-de-la-Baie-James,0
2020-04-03,01 - Bas-Saint-Laurent,5
2020-04-03,02 - Saguenay–Lac-Saint-Jean,12
2020-04-03,03 - Capitale Nationale,10
2020-04-03,04 - Mauricie - Centre du Québec,46
2020-04-03,05 - Estrie,46
2020-04-03,06 - Montréal,195
2020-04-03,07 - Outaouais,6
2020-04-03,08 - Abitibi-Temiscamingue,11
2020-04-03,09 - Côte-Nord,5
2020-04-03,10 - Nord-du-Québec,1
2020-04-03,11 - Gaspésie-Îles-de-la-Madeleine,3
2020-04-03,12 - Chaudière-Appalaches,3
2020-04-03,13 - Laval,65
2020-04-03,14 - Lanaudière,49
2020-04-03,15 - Laurentides,29
2020-04-03,16 - Montérégie,97
2020-04-03,17 - Nunavik,0
2020-04-03,18 - Terres-Cries-de-la-Baie-James,0
2020-04-04,01 - Bas-Saint-Laurent,3
2020-04-04,02 - Saguenay–Lac-Saint-Jean,11
2020-04-04,03 - Capitale Nationale,29
2020-04-04,04 - Mauricie - Centre du Québec,67
2020-04-04,05 - Estrie,49
2020-04-04,06 - Montréal,425
2020-04-04,07 - Outaouais,4
2020-04-04,08 - Abitibi-Temiscamingue,18
2020-04-04,09 - Côte-Nord,2
2020-04-04,10 - Nord-du-Québec,0
2020-04-04,11 - Gaspésie-Îles-de-la-Madeleine,2
2020-04-04,12 - Chaudière-Appalaches,3
2020-04-04,13 - Laval,93
2020-04-04,14 - Lanaudière,39
2020-04-04,15 - Laurentides,52
2020-04-04,16 - Montérégie,100
2020-04-04,17 - Nunavik,0
2020-04-04,18 - Terres-Cries-de-la-Baie-James,0
2020-04-05,01 - Bas-Saint-Laurent,0
2020-04-05,02 - Saguenay–Lac-Saint-Jean,24
2020-04-05,03 - Capitale Nationale,36
2020-04-05,04 - Mauricie - Centre du Québec,63
2020-04-05,05 - Estrie,19
2020-04-05,06 - Montréal,452
2020-04-05,07 - Outaouais,24
2020-04-05,08 - Abitibi-Temiscamingue,7
2020-04-05,09 - Côte-Nord,9
2020-04-05,10 - Nord-du-Québec,0
2020-04-05,11 - Gaspésie-Îles-de-la-Madeleine,11
2020-04-05,12 - Chaudière-Appalaches,17
2020-04-05,13 - Laval,71
2020-04-05,14 - Lanaudière,53
2020-04-05,15 - Laurentides,37
2020-04-05,16 - Montérégie,123
2020-04-05,17 - Nunavik,0
2020-04-05,18 - Terres-Cries-de-la-Baie-James,1
2020-04-06,01 - Bas-Saint-Laurent,2
2020-04-06,02 - Saguenay–Lac-Saint-Jean,14
2020-04-06,03 - Capitale Nationale,12
2020-04-06,04 - Mauricie - Centre du Québec,55
2020-04-06,05 - Estrie,30
2020-04-06,06 - Montréal,264
2020-04-06,07 - Outaouais,8
2020-04-06,08 - Abitibi-Temiscamingue,18
2020-04-06,09 - Côte-Nord,10
2020-04-06,10 - Nord-du-Québec,0
2020-04-06,11 - Gaspésie-Îles-de-la-Madeleine,8
2020-04-06,12 - Chaudière-Appalaches,2
2020-04-06,13 - Laval,72
2020-04-06,14 - Lanaudière,45
2020-04-06,15 - Laurentides,5
2020-04-06,16 - Montérégie,88
2020-04-06,17 - Nunavik,3
2020-04-06,18 - Terres-Cries-de-la-Baie-James,0
2020-04-07,01 - Bas-Saint-Laurent,1
2020-04-07,02 - Saguenay–Lac-Saint-Jean,10
2020-04-07,03 - Capitale Nationale,18
2020-04-07,04 - Mauricie - Centre du Québec,40
2020-04-07,05 - Estrie,22
2020-04-07,06 - Montréal,430
2020-04-07,07 - Outaouais,12
2020-04-07,08 - Abitibi-Temiscamingue,7
2020-04-07,09 - Côte-Nord,3
2020-04-07,10 - Nord-du-Québec,0
2020-04-07,11 - Gaspésie-Îles-de-la-Madeleine,4
2020-04-07,12 - Chaudière-Appalaches,23
2020-04-07,13 - Laval,47
2020-04-07,14 - Lanaudière,41
2020-04-07,15 - Laurentides,34
2020-04-07,16 - Montérégie,67
2020-04-07,17 - Nunavik,0
2020-04-07,18 - Terres-Cries-de-la-Baie-James,1
2020-04-08,01 - Bas-Saint-Laurent,3
