date,region,cases
2020-04-09,17 - Nunavik,5
2020-04-09,18 - Terres-Cries-de-la-Baie-James,5
2020-04-10,01 - Bas-Saint-Laurent,34
2020-04-10,02 - Saguenay–Lac-Saint-Jean,135
2020-04-10,03 - Capitale Nationale,427
2020-04-10,04 - Mauricie - Centre du Québec,673
2020-04-10,05 - Estrie,642
2020-04-10,06 - Montréal,5617
2020-04-10,07 - Outaouais,141
2020-04-10,08 - Abitibi-Temiscamingue,130
2020-04-10,09 - Côte-Nord,84
2020-04-10,10 - Nord-du-Québec,5
2020-04-10,11 - Gaspésie-Îles-de-la-Madeleine,84
2020-04-10,12 - Chaudière-Appalaches,222
2020-04-10,13 - Laval,1017
2020-04-10,14 - Lanaudière,738
2020-04-10,15 - Laurentides,545
2020-04-10,16 - Montérégie,1173
2020-04-10,17 - Nunavik,5
2020-04-10,18 - Terres-Cries-de-la-Baie-James,5
2020-04-11,01 - Bas-Saint-Laurent,34
2020-04-11,02 - Saguenay–Lac-Saint-Jean,142
2020-04-11,03 - Capitale Nationale,440
2020-04-11,04 - Mauricie - Centre du Québec,711
2020-04-11,05 - Estrie,661
2020-04-11,06 - Montréal,5861
2020-04-11,07 - Outaouais,157
2020-04-11,08 - Abitibi-Temiscamingue,134
2020-04-11,09 - Côte-Nord,92
2020-04-11,10 - Nord-du-Québec,5
2020-04-11,11 - Gaspésie-Îles-de-la-Madeleine,90
2020-04-11,12 - Chaudière-Appalaches,230
2020-04-11,13 - Laval,1108
2020-04-11,14 - Lanaudière,788
2020-04-11,15 - Laurentides,568
2020-04-11,16 - Montérégie,1259
2020-04-11,17 - Nunavik,7
2020-04-11,18 - Terres-Cries-de-la-Baie-James,5
2020-04-12,01 - Bas-Saint-Laurent,34
2020-04-12,02 - Saguenay–Lac-Saint-Jean,149
2020-04-12,03 - Capitale Nationale,444
2020-04-12,04 - Mauricie - Centre du Québec,739
2020-04-12,05 - Estrie,689
2020-04-12,06 - Montréal,6088
2020-04-12,07 - Outaouais,169
2020-04-12,08 - Abitibi-Temiscamingue,137
2020-04-12,09 - Côte-Nord,92
2020-04-12,10 - Nord-du-Québec,5
2020-04-12,11 - Gaspésie-Îles-de-la-Madeleine,96
2020-04-12,12 - Chaudière-Appalaches,247
2020-04-12,13 - Laval,1231
2020-04-12,14 - Lanaudière,808
2020-04-12,15 - Laurentides,581
2020-04-12,16 - Montérégie,1325
2020-04-12,17 - Nunavik,7
2020-04-12,18 - Terres-Cries-de-la-Baie-James,5
2020-04-13,01 - Bas-Saint-Laurent,34
2020-04-13,02 - Saguenay–Lac-Saint-Jean,161
2020-04-13,03 - Capitale Nationale,480
2020-04-13,04 - Mauricie - Centre du Québec,785
2020-04-13,05 - Estrie,704
2020-04-13,06 - Montréal,6393
2020-04-13,07 - Outaouais,169
2020-04-13,08 - Abitibi-Temiscamingue,172
2020-04-13,09 - Côte-Nord,95
2020-04-13,10 - Nord-du-Québec,7
2020-04-13,11 - Gaspésie-Îles-de-la-Madeleine,97
2020-04-13,12 - Chaudière-Appalaches,272
2020-04-13,13 - Laval,1268
2020-04-13,14 - Lanaudière,868
2020-04-13,15 - Laurentides,635
2020-04-13,16 - Montérégie,1433
2020-04-13,17 - Nunavik,10
2020-04-13,18 - Terres-Cries-de-la-Baie-James,5
2020-04-14,01 - Bas-Saint-Laurent,34
2020-04-14,02 - Saguenay–Lac-Saint-Jean,170
2020-04-14,03 - Capitale Nationale,511
2020-04-14,04 - Mauricie - Centre du Québec,830
2020-04-14,05 - Estrie,721
2020-04-14,06 - Montréal,6628
2020-04-14,07 - Outaouais,180
2020-04-14,08 - Abitibi-Temiscamingue,138
2020-04-14,09 - Côte-Nord,96
2020-04-14,10 - Nord-du-Québec,7
2020-04-14,11 - Gaspésie-Îles-de-la-Madeleine,99
2020-04-14,12 - Chaudière-Appalaches,286
2020-04-14,13 - Laval,1358
2020-04-14,14 - Lanaudière,946
2020-04-14,15 - Laurentides,663
2020-04-14,16 - Montérégie,1565
2020-04-14,17 - Nunavik,11
2020-04-14,18 - Terres-Cries-de-la-Baie-James,5
2020-04-15,01 - Bas-Saint-Laurent,34
2020-04-15,02 - Saguenay–Lac-Saint-Jean,175
2020-04-15,03 - Capitale Nationale,528
2020-04-15,04 - Mauricie - Centre du Québec,862
2020-04-15,05 - Estrie,738
2020-04-15,06 - Montréal,6830
2020-04-15,07 - Outaouais,181
2020-04-15,08 - Abitibi-Temiscamingue,139
2020-04-15,09 - Côte-Nord,98
2020-04-15,10 - Nord-du-Québec,7
2020-04-15,11 - Gaspésie-Îles-de-la-Madeleine,103
2020-04-15,12 - Chaudière-Appalaches,291
2020-04-15,13 - Laval,1455
2020-04-15,14 - Lanaudière,1026
2020-04-15,15 - Laurentides,690
2020-04-15,16 - Montérégie,1686
2020-04-15,17 - Nunavik,12
2020-04-15,18 - Terres-Cries-de-la-Baie-James,5
2020-04-16,01 - Bas-Saint-Laurent,34
2020-04-16,02 - Saguenay–Lac-Saint-Jean,202
2020-04-16,03 - Capitale Nationale,551
2020-04-16,04 - Mauricie - Centre du Québec,891
2020-04-16,05 - Estrie,751
2020-04-16,06 - Montréal,7281
2020-04-16,07 - Outaouais,191
2020-04-16,08 - Abitibi-Temiscamingue,140
2020-04-16,09 - Côte-Nord,101
2020-04-16,10 - Nord-du-Québec,7
2020-04-16,11 - Gaspésie-Îles-de-la-Madeleine,103
2020-04-16,12 - Chaudière-Appalaches,293
2020-04-16,13 - Laval,1620
2020-04-16,14 - Lanaudière,1140
2020-04-16,15 - Laurentides,727
2020-04-16,16 - Montérégie,1807
2020-04-16,17 - Nunavik,13
2020-04-16,18 - Terres-Cries-de-la-Baie-James,5
2020-04-17,01 - Bas-Saint-Laurent,34
2020-04-17,02 - Saguenay–Lac-Saint-Jean,204
2020-04-17,03 - Capitale Nationale,569
2020-04-17,04 - Mauricie - Centre du Québec,917
2020-04-17,05 - Estrie,763
2020-04-17,06 - Montréal,7760
2020-04-17,07 - Outaouais,192
2020-04-17,08 - Abitibi-Temiscamingue,143
2020-04-17,09 - Côte-Nord,104
2020-04-17,10 - Nord-du-Québec,7
2020-04-17,11 - Gaspésie-Îles-de-la-Madeleine,107
2020-04-17,12 - Chaudière-Appalaches,304
2020-04-17,13 - Laval,1772
2020-04-17,14 - Lanaudière,1207
2020-04-17,15 - Laurentides,777
2020-04-17,16 - Montérégie,1920
2020-04-17,17 - Nunavik,13
2020-04-17,18 - Terres-Cries-de-la-Baie-James,5
2020-04-18,01 - Bas-Saint-Laurent,34
2020-04-18,02 - Saguenay–Lac-Saint-Jean,214
2020-04-18,03 - Capitale Nationale,586
2020-04-18,04 - Mauricie - Centre du Québec,947
2020-04-18,05 - Estrie,770
2020-04-18,06 - Montréal,8052
2020-04-18,07 - Outaouais,202
2020-04-18,08 - Abitibi-Temiscamingue,143
2020-04-18,09 - Côte-Nord,107
2020-04-18,10 - Nord-du-Québec,7
2020-04-18,11 - Gaspésie-Îles-de-la-Madeleine,119
2020-04-18,12 - Chaudière-Appalaches,316
2020-04-18,13 - Laval,1897
2020-04-18,14 - Lanaudière,1244
2020-04-18,15 - Laurentides,813
2020-04-18,16 - Montérégie,2052
2020-04-18,17 - Nunavik,13
2020-04-18,18 - Terres-Cries-de-la-Baie-James,5
2020-04-19,01 - Bas-Saint-Laurent,34
2020-04-19,02 - Saguenay–Lac-Saint-Jean,226
2020-04-19,03 - Capitale Nationale,599
2020-04-19,04 - Mauricie - Centre du Québec,961
2020-04-19,05 - Estrie,778
2020-04-19,06 - Montréal,8457
2020-04-19,07 - Outaouais,209
2020-04-19,08 - Abitibi-Temiscamingue,145
2020-04-19,09 - Côte-Nord,109
2020-04-19,10 - Nord-du-Québec,7
2020-04-19,11 - Gaspésie-Îles-de-la-Madeleine,125
2020-04-19,12 - Chaudière-Appalaches,329
2020-04-19,13 - Laval,2029
2020-04-19,14 - Lanaudière,1345
2020-04-19,15 - Laurentides,844
2020-04-19,16 - Montérégie,2142
2020-04-19,17 - Nunavik,13
2020-04-19,18 - Terres-Cries-de-la-Baie-James,5
2020-04-20,01 - Bas-Saint-Laurent,34
2020-04-20,02 - Saguenay–Lac-Saint-Jean,239
2020-04-20,03 - Capitale Nationale,615
2020-04-20,04 - Mauricie - Centre du Québec,989
2020-04-20,05 - Estrie,787
2020-04-20,06 - Montréal,8964
2020-04-20,07 - Outaouais,214
2020-04-20,08 - Abitibi-Temiscamingue,147
2020-04-20,09 - Côte-Nord,110
2020-04-20,10 - Nord-du-Québec,7
2020-04-20,11 - Gaspésie-Îles-de-la-Madeleine,125
2020-04-20,12 - Chaudière-Appalaches,333
2020-04-20,13 - Laval,2095
2020-04-20,14 - Lanaudière,1406
2020-04-20,15 - Laurentides,869
